_hipscat_index,FIELD_,ID_,RA_,DEC_,r_petro_,zb_,zb_Min_,zb_Max_,PROB_GAL_new_,SPIRAL_,ELLIPTICAL_,UNCERTAIN_,simple_class_,Norder_,Dir_,Npix_,ID_dual,RA_dual,DEC_dual,r_auto_dual,g_auto_dual,i_auto_dual,z_auto_dual,u_auto_dual,J0378_auto_dual,J0395_auto_dual,J0410_auto_dual,J0430_auto_dual,J0515_auto_dual,J0660_auto_dual,J0861_auto_dual,e_r_auto_dual,e_g_auto_dual,e_i_auto_dual,e_z_auto_dual,e_u_auto_dual,e_J0378_auto_dual,e_J0395_auto_dual,e_J0410_auto_dual,e_J0430_auto_dual,e_J0515_auto_dual,e_J0660_auto_dual,e_J0861_auto_dual,_dist_arcsec
5071447686066995200,STRIPE82-0023,SPLUS.STRIPE82-0023.04318.griz,14.9883,-1.1819,16.68,0.051,0.044,0.06,1.0,1,0,0,Ec,0,0,4,DR4_3_STRIPE82-0023_0006904,14.98828139758494,-1.1818541871225676,16.873886,17.497082,16.531734,16.245558,18.78714,18.54071,18.094267,17.95715,18.001396,17.260975,16.83544,16.274033,0.0151955895,0.022252245,0.016042188,0.022771833,0.11301352,0.15418085,0.16236301,0.12420483,0.118963465,0.055555336,0.019055957,0.032553747,0.17799888147188905
5071430240920666112,STRIPE82-0023,SPLUS.STRIPE82-0023.04790.griz,15.3262,-1.1684,15.64,0.072,0.067,0.075,1.0,0,0,1,Ei,0,0,4,DR4_3_STRIPE82-0023_0007715,15.326223653649327,-1.168350722625742,15.823029,16.73753,15.386145,15.110109,18.538424,17.992748,17.748108,17.741653,17.14901,16.29799,15.699827,15.156508,0.00773474,0.014453892,0.007383209,0.010690372,0.11884604,0.12257533,0.15529591,0.1316191,0.0704058,0.029971112,0.009155829,0.015453029,0.19676962829672745
5071437922662612992,STRIPE82-0023,SPLUS.STRIPE82-0023.06352.griz,15.3201,-1.0976,14.55,0.064,0.059,0.067,1.0,1,0,0,S,0,0,4,DR4_3_STRIPE82-0023_0009911,15.320137567171873,-1.0977183395027494,14.7714815,15.435837,14.39702,14.195445,16.652445,16.48012,16.134829,16.133665,15.817277,15.141351,14.708174,14.271072,0.0046149814,0.0069360286,0.0046621677,0.007174742,0.033704996,0.048824903,0.055873036,0.04723439,0.032597795,0.016295997,0.005718411,0.010638648,0.44696595033488723
5071565666092318720,STRIPE82-0023,SPLUS.STRIPE82-0023.08448.griz,14.902,-0.9883,16.28,0.0819999999999999,0.077,0.113,1.0,0,0,1,Ei,0,0,4,DR4_3_STRIPE82-0023_0012732,14.902006980832288,-0.9882940786783719,16.437435,17.311966,16.012741,15.729456,18.715242,18.284147,17.887138,17.907423,18.055729,16.824747,16.354698,15.831622,0.010966416,0.019999463,0.010744075,0.015062796,0.116162404,0.1354243,0.14568076,0.1274732,0.13351503,0.039927866,0.013313,0.023161653,0.03295122526600376
5071560148539932672,STRIPE82-0023,SPLUS.STRIPE82-0023.08734.griz,14.8276,-0.9879,15.3,0.044,0.04,0.058,1.0,0,0,1,Ei,0,0,4,DR4_3_STRIPE82-0023_0013290,14.827587824865528,-0.9879562457529469,15.420584,16.18471,15.028113,14.834922,17.625565,17.667538,17.156157,16.670418,16.403961,15.803688,15.311013,14.814295,0.006665329,0.010988098,0.006692864,0.010012396,0.8721377,0.11738602,0.11633191,0.06342552,0.04513684,0.023930304,0.007883248,0.013833094,0.20717287048279515
5071560982094938112,STRIPE82-0023,SPLUS.STRIPE82-0023.09276.griz,14.8255,-0.9483,16.44,0.074,0.072,0.107,1.0,1,0,0,S,0,0,4,DR4_3_STRIPE82-0023_0013843,14.82545855927209,-0.9482685785131442,16.61323,17.074053,16.334095,16.227795,18.087255,17.893982,17.563084,17.379402,17.35054,16.750278,16.585327,16.189907,0.0145334,0.01844511,0.016247934,0.027053922,0.07593633,0.108909994,0.12707944,0.091284275,0.08052389,0.04237906,0.018579165,0.036204122,0.18720600179125885
5071576951597039616,STRIPE82-0023,SPLUS.STRIPE82-0023.11499.griz,14.9768,-0.8515,16.49,0.094,0.089,0.099,1.0,0,0,1,Ei,0,0,4,DR4_3_STRIPE82-0023_0016758,14.976805520824074,-0.8515396839234417,16.663261,17.50098,16.351578,16.137264,19.00559,18.40362,18.838808,18.512388,18.111345,17.17012,16.542185,16.174274,0.0098379925,0.017311294,0.010495654,0.015588022,0.11073355,0.10833454,0.25225613,0.15779683,0.10017779,0.039207924,0.011528967,0.022530658,0.1442376984114927
5071580145265934336,STRIPE82-0023,SPLUS.STRIPE82-0023.12884.griz,14.9708,-0.7931,15.26,0.04,0.036,0.042,1.0,0,0,1,Ei,0,0,4,DR4_3_STRIPE82-0023_0018960,14.970794731683453,-0.793074465473844,15.466832,16.328094,15.064548,14.795924,18.010803,17.538994,17.390005,17.370413,16.796642,15.980523,15.380472,14.869434,0.00478394,0.008483424,0.0046650483,0.006482848,0.061998647,0.06845331,0.09392303,0.07747816,0.04221372,0.01868611,0.0057391883,0.011913401,0.09386007567030341
5072793038162493440,STRIPE82-0021,SPLUS.STRIPE82-0021.20334.griz,14.5622,-0.2269,15.49,0.067,0.061,0.07,1.0,0,0,1,S,0,0,4,DR4_3_STRIPE82-0021_0037160,14.562170250204073,-0.22689993908270928,15.661317,16.30349,15.282423,15.107981,17.985582,17.579252,17.294893,16.919607,16.762932,16.08214,15.616347,15.1711235,0.007234562,0.010506881,0.007026077,0.010739001,0.08385811,0.09341559,0.11428535,0.06364065,0.051434122,0.024772905,0.008506911,0.016014723,0.10709865007698788
5072780400896507904,STRIPE82-0021,SPLUS.STRIPE82-0021.20368.griz,14.5435,-0.3532,16.95,0.1102,0.068,0.121,1.0,0,0,1,Ei,0,0,4,DR4_3_STRIPE82-0021_0038105,14.543505761457256,-0.3531978103365781,17.16306,18.042486,16.724388,16.449226,19.56087,19.40585,19.234386,19.307917,18.565971,17.701454,17.089464,16.522804,0.012167159,0.02159139,0.011151958,0.015448866,0.14524478,0.20557292,0.27764267,0.2338462,0.110893145,0.04565617,0.014074049,0.023231713,0.02218831437926481
